index,group,energ_kcal,lipid_tot,carbohydrt,protein,name
223,3.0,240.67,59.05,0.05,0.69,ATE DE MEMBRILLO
224,3.0,148.0,19.8,2.7,11.1,JALEA REAL
225,3.0,312.52,78.13,0.0,0.0,"JARABE, SABOR A MAPLE"
226,3.0,345.85,66.53,5.82,7.25,LECHE CONDENSADA
227,3.0,282.0,62.0,0.3,7.7,LECHE CONDENSADA REDUCIDA EN AZUCAR (LECHERA LIGHT)
228,3.0,394.4,69.3,10.11,6.25,"MALVAVISCO CUBIERTO DE CHOCOLATE (MALVABON, DE LA ROSA, ETC)"
229,3.0,510.0,65.0,22.5,12.5,"MAZAPAN, PROMEDIO"
230,3.0,285.0,71.0,0.1,0.0,MELAZA
231,3.0,197.33,49.33,0.0,0.0,"MERMELADA, DE MANZANA"
232,3.0,243.56,60.44,0.03,0.23,MERMELADA DE NARANJA
233,3.0,224.81,57.87,0.3,0.65,MERMELADA PROMEDIO (EXCEPTO NARANJA O MANZANA)
234,3.0,130.53,32.46,0.0,0.0,MERMELADA REDUCIDA EN CALORÍAS (TODOS LOS SABORES)
235,3.0,320.16,78.61,0.0,0.15,"MIEL, DE ABEJA"
236,3.0,294.0,72.6,0.2,0.5,"MIEL, DE CAÑA"
237,3.0,283.0,76.79,0.2,0.0,"MIEL, DE MAIZ"
238,3.0,260.0,67.04,0.06,0.04,"MIEL, DE MAPLE"
239,3.0,124.5,14.11,5.45,4.2,"NATILLA (TODOS SABORES), PREPARACION ESTANDARIZADA"
240,3.0,86.72,20.03,0.33,0.67,NIEVE DE FRUTAS
241,3.0,43.89,10.45,0.36,0.43,"NIEVE DE FRUTAS CON CHAMOY Y CHILE EN POLVO, PREPARACION ESTANDARIZADA"
242,3.0,514.85,52.61,29.42,9.89,NUEZ O CACAHUATES CUBIERTOS DE CHOCOLATE
243,3.0,365.0,89.08,0.0,2.17,NUTRA SWEET
244,3.0,369.29,77.68,2.92,7.87,OBLEAS CON CAJETA
245,3.0,414.21,46.25,24.3,5.8,"PALANQUETA CASERA, PREPARACION ESTANDARIZADA"
246,3.0,71.7,18.81,0.0,0.0,"PALETA DE HIELO, DE AGUA (TODOS SABORES)"
247,3.0,260.67,34.94,12.65,1.62,"PALETA DE HIELO, DE LECHE SIN COBERTURA"
248,3.0,238.09,22.02,15.15,3.4,"PALETA DE HIELO, DE LECHE Y COBERTURA DE CHOCOLATE (TIPO MAGNUM)"
249,3.0,364.44,67.66,10.27,4.11,"PALETA PAYASO, RICOLINO"
250,3.0,299.0,79.18,0.46,3.07,PASAS
251,3.0,440.0,64.2,19.08,3.85,PASAS CUBIERTAS CON CHOCOLATE
252,3.0,399.85,33.14,27.62,7.37,"PAY DE FRUTAS (REBANADA), PREPARACION ESTANDARIZADA"
253,3.0,293.83,33.31,13.71,7.4,"PAY DE QUESO (REBANADA), PREPARACION ESTANDARIZADA"
254,3.0,23.95,5.97,0.11,0.58,"PEPINO CON CHAMOY Y POLVITO AZUCARADO (TIPO MIGUELITO), PREPARACION ESTANDARIZADA"
255,3.0,375.0,93.8,0.0,0.0,PILONCILLO
256,3.0,321.0,79.0,0.0,1.3,QUESO DE TUNA
257,3.0,89.26,17.98,0.91,0.47,RASPADO (PROMEDIO)
258,3.0,336.0,91.17,0.0,0.0,SPLENDA
